Data set,Block size,Iteration,Dimensions,Vectors,Total time,Total time (normalised),Projected dimensions,Projected vectors,Function time,Function time (normalised),Distance calls,Distance calls (normalised),Pruned,Pruned (normalised)
"runningex50k",1,1,2,50000,2325.257,0.914052046070993,200,50000,211.080,0.661796519830695,1030307019,0.086819957889904,49592,0.0927587845142658
"runningex50k",10,1,2,50000,2277.851,0.895416879594324,200,50000,183.799,0.57626273710613,2060800821,0.173655655255416,99178,0.185506346397723
"runningex50k",15,1,2,50000,2279.026,0.895878768819529,200,50000,181.651,0.569528139206772,3091308623,0.260492532346377,148764,0.278253908281179
"runningex50k",30,1,2,50000,2284.916,0.89819411140375,200,50000,181.600,0.569368239535977,4122141351,0.347356789685281,198344,0.370990247533827
"runningex50k",40,1,2,50000,2293.870,0.901713903848422,200,50000,181.692,0.569656686000941,5153470305,0.434262862055656,247914,0.463707882401793
"runningex50k",45,1,2,50000,2308.589,0.907499901725697,200,50000,180.186,0.564934942781,6184748403,0.521164648989071,297485,0.556427387708227
"runningex50k",60,1,2,50000,2296.008,0.902554345689689,200,50000,181.633,0.569471704028845,7216123960,0.608074648412666,347055,0.649145022576192
"runningex50k",90,1,2,50000,2309.434,0.907832068870632,200,50000,180.929,0.567264461514344,8248308383,0.695052807822328,396608,0.741830859990199
"runningex50k",100,1,2,50000,2282.155,0.897108769998821,200,50000,180.210,0.565010189684904,9280882072,0.78206376916103,446154,0.834503604334928
"runningex50k",1000,1,2,50000,2305.700,0.906364243877511,200,50000,194.081,0.608499764853425,10355030231,0.87257804909131,494849,0.925584605543231
"runningex50k",10000,1,2,50000,2543.900,1,200,50000,318.950,1,11867167919,1,534634,1
"segmentation",0,1,20,2100,42.752,0.97560530339335,200,2100,0.310,0.217696629213483,218984115,0.0588753432348787,38460,0.0997649842025805
"segmentation",1,1,20,2100,42.422,0.96807466739691,200,2100,0.330,0.231741573033708,3695263380,0.993496262689091,369801,0.959261334453938
"segmentation",10,1,20,2100,42.194,0.962871682526643,200,2100,0.319,0.224016853932584,3696256602,0.993763297063518,371660,0.964083568089731
"segmentation",15,1,20,2100,42.395,0.967458524451747,200,2100,0.329,0.231039325842697,3697251674,0.994030828822812,373518,0.968903207732175
"segmentation",30,1,20,2100,42.317,0.965678555943497,200,2100,0.328,0.230337078651685,3698264303,0.994303080898925,375366,0.973696907441129
"segmentation",40,1,20,2100,42.446,0.968622350014833,200,2100,0.331,0.232443820224719,3699297315,0.99458081308085,377205,0.978467261209942
"segmentation",45,1,20,2100,42.480,0.969398233723557,200,2100,0.339,0.238061797752809,3700328261,0.994857989804863,379046,0.983242802965453
"segmentation",60,1,20,2100,42.393,0.967412884233587,200,2100,0.340,0.23876404494382,3701364866,0.995136687988857,380883,0.988007968747568
"segmentation",90,1,20,2100,42.326,0.965883936925219,200,2100,0.357,0.250702247191011,3702462945,0.995431913868707,382688,0.992690126742515
"segmentation",100,1,20,2100,42.643,0.973117911503617,200,2100,0.349,0.245084269662921,3703581490,0.995732642169473,384485,0.99735153279067
"segmentation",1000,1,20,2100,43.113,0.983843362771274,200,2100,0.813,0.570926966292135,3706230030,0.996444719854063,385506,1
"segmentation",10000,1,20,2100,43.617,0.995344697747655,200,2100,1.395,0.979634831460674,3710637930,0.997629813236042,385506,1
"segmentation",100000,1,20,2100,43.821,1,200,2100,1.398,0.981741573033708,3715045830,0.998814906618021,385506,1
"segmentation",1000000,1,20,2100,43.742,0.99819721138267,200,2100,1.424,1,3719453730,1,385506,1
"spam",0,1,58,4601,101.082,0.923713789637211,200,4601,0.811,0.135823145201809,37763409,0.0148094628026632,49994,0.0973278355974505
"spam",1,1,58,4601,100.681,0.920049346614274,200,4601,0.846,0.141684809914587,2466438225,0.967249147136165,475720,0.926127094259694
"spam",10,1,58,4601,100.513,0.918514118614639,200,4601,0.799,0.133813431585999,2468163215,0.967925626720939,480049,0.93455474958436
"spam",15,1,58,4601,100.648,0.919747783971488,200,4601,0.469,0.0785463071512309,2469912278,0.968611546878147,484372,0.942970724167066
"spam",30,1,58,4601,102.303,0.934871607420269,200,4601,0.829,0.138837715625523,2471713885,0.969318072919043,488686,0.95136917763683
"spam",40,1,58,4601,107.921,0.986210362788998,200,4601,0.569,0.0952939206163122,2473542378,0.970035142690695,492993,0.959754003574307
"spam",45,1,58,4601,100.440,0.917847025495751,200,4601,0.583,0.0976385865014235,2475372688,0.970752925024974,497298,0.96813493593113
"spam",60,1,58,4601,101.968,0.931810289682902,200,4601,0.658,0.110199296600234,2477254072,0.971490736761344,501596,0.976502240755666
"spam",90,1,58,4601,100.643,0.919702092661976,200,4601,0.757,0.126779433930665,2479183455,0.972247371994423,505880,0.984842290515627
"spam",100,1,58,4601,100.976,0.922745133875537,200,4601,0.534,0.0894322559035337,2481152240,0.973019459287282,510156,0.993166765952973
"spam",1000,1,58,4601,101.650,0.92890432239788,200,4601,1.472,0.246524870205996,2486457505,0.975099995095789,513666,1
"spam",10000,1,58,4601,109.430,1,200,4601,5.971,1,2507622105,0.983399996730526,513666,1
"spam",100000,1,58,4601,107.551,0.982829205885041,200,4601,5.617,0.940713448333612,2528786705,0.991699998365263,513666,1
"spam",1000000,1,58,4601,107.325,0.980763958695056,200,4601,5.576,0.933846926812929,2549951305,1,513666,1
"spam_train",0,1,58,4501,94.455,0.964613970588235,200,4501,0.490,0.0892694479868829,1589883,0.0195956450440994,4271,0.102577034848812
